firstname,surname,image_url,website,affiliation,role
Wouter,van Atteveldt,https://avatars1.githubusercontent.com/u/1736240?s=460&v=4,http://vanatteveldt.com/,Vrije Universiteit Amsterdam,Organizer
Kasper,Welbers,https://avatars3.githubusercontent.com/u/6179240?s=460&v=4,https://github.com/kasperwelbers,Vrije Universiteit Amsterdam,Organizer
Magdalena,Wojcieszak,https://www.ucdavis.edu/sites/default/files/upload/users/magdalena-wojcieszak-new-faculty-uc-davis-small.jpg,http://magdalenawojcieszak.com/,University of California Davis,Organizer
Judith,Muller,http://www.uva.nl/binaries/content/documents/personalpages/m/o/j.e.moller1/profilepicture/profilepicture/myprofile%3Aimage?1363880197501,http://www.uva.nl/en/profile/m/o/j.e.moller1/j.e.moller.html,University of Amsterdam,
Shira,Dvir Gvirsman,"https://static.wixstatic.com/media/ca4efe_db436bd010c845038a806c8aca187b94.jpg/v1/fill/w_337,h_224,al_c,q_80,usm_0.66_1.00_0.01/ca4efe_db436bd010c845038a806c8aca187b94.jpg",https://www.shiradvir.com/,Tel Aviv University,
Damian,Trilling,http://www.uva.nl/binaries/content/documents/personalpages/t/r/d.c.trilling/profilepicture/profilepicture/myprofile%3Aimage?1363700360618,http://www.uva.nl/profiel/t/r/d.c.trilling/d.c.trilling.html,University of Amsterdam,
Michaela,Maier,https://www.uni-koblenz-landau.de/de/landau/fb8/ikms/kompsych/mmaier/m-maier/photo_normal,https://www.uni-koblenz-landau.de/de/landau/fb8/ikms/kompsych/mmaier,University of Koblenz Landau,
Clara,Christner,https://i1.rgstatic.net/ii/profile.image/672182250262528-1537272145085_Q128/Clara_Christner.jpg,https://www.researchgate.net/profile/Clara_Christner,University of Koblenz Landau,
Alexandra,Urman,https://pbs.twimg.com/profile_images/926130913791979520/VKVxxIda_400x400.jpg,http://www.ikmb.unibe.ch/about_us/people/urman_aleksandra/index_eng.html,University of Bern,
Ericka,Menchen-Trevino,https://www.american.edu/uploads/profiles/large/Ericka_Menchen_Trevino_webcopy-circle.png,https://www.american.edu/soc/faculty/menchent.cfm,"AU, Washington D.C.",
Chris,Karr,https://avatars1.githubusercontent.com/u/1141048?s=460&v=4,https://audacious-software.com/,Audacious Software,
Arnim,Bleier,http://www.topicmapslab.de/person/thumbnail/127/detail/arnim.jpg?1276888997,https://www.gesis.org/institut/mitarbeiterverzeichnis/person/?tx_gextstaffdir_staffdirectory%5bemail%5d=arnim.bleier@gesis.org&tx_gextstaffdir_staffdirectory%5baction%5d=details&tx_gextstaffdir_staffdirectory%5bcontroller%5d=Index&no_cache=1,GESIS,
Andreu,Casas,https://scholar.google.com/citations?view_op=view_photo&user=-_yQmAYAAAAJ&citpid=3,http://andreucasas.com/,NYU/UVA (incoming postdoc),
Chankyung ,Pak,http://pakchank.com/wp-content/uploads/2018/01/profile_new_ck.jpg,http://pakchank.com/,UVA,
Cedric,Courtois,https://soc.kuleuven.be/smc/staff/00097765/photo_portret,https://soc.kuleuven.be/smc/staff/00097765,KU Leuven,
Jacob,Ohme,http://findresearcher.sdu.dk/portal/files/99866941/Importeret%20foto.jpg,http://findresearcher.sdu.dk/portal/en/persons/jakob-ohme(edc9c5df-6ce3-4e09-98ab-1e220864403c).html,University of Amsterdam,
Theo,Araujo,http://www.uva.nl/binaries/content/documents/personalpages/a/r/t.b.araujo/profilepicture/profilepicture/myprofile%3Aimage?1449573383246,http://www.uva.nl/profiel/a/r/t.b.araujo/t.b.araujo.html,University of Amsterdam,
Felicia,Locherbach,https://research.vu.nl/files-asset/62898357/DSC_3685_1_.jpg,https://research.vu.nl/en/persons/felicia-loecherbach,VU / UVA,
